generation,individual,x1,x2,fitness,rank,is_elite
0,1,-0.41084224461660046,0.6874119595289372,4.319262843305168,1,False
0,2,-0.5384372442596934,-1.1897877390351752,5.350812668142339,2,False
0,3,1.347183200005908,0.535794006579958,5.964793405380913,3,False
0,4,1.6431354032738756,-0.9361313855992943,6.250648880387459,4,False
0,5,1.6840296179047165,-0.28903793856867477,6.287376826033821,5,False
0,6,-1.1252162096982552,-2.116718960697559,6.405096816444104,6,False
0,7,0.5920716074541357,-1.960499019373878,6.679116249053397,7,False
0,8,2.0026510200224914,-1.8763335861795891,6.79669824096751,8,False
0,9,-1.984879108521235,1.3028259311888846,7.024857097917032,9,False
0,10,-1.7417464186184803,-1.2954029396513111,7.158419966228099,10,False
0,11,2.2235935059645033,-0.3812276974861266,7.42916013613752,11,False
0,12,-2.854153271804708,-0.9147135627536382,7.5440415389025794,12,False
0,13,-2.064062422333164,1.6191651472689506,7.81910179681125,13,False
0,14,0.6523610648118883,2.649988574160256,8.563340437093938,14,False
0,15,2.0516537862633513,2.8072903102196793,8.571417224069478,15,False
0,16,-0.30444188724192056,-3.1052864091571433,8.599175994717264,16,False
0,17,0.5703215234127832,2.8389820910641355,8.609193932958666,17,False
0,18,2.7395604855596334,-0.6112156024794766,8.611079791171319,18,False
0,19,-0.5658580117266885,-2.727612782152231,8.640764984747136,19,False
0,20,2.869243775021384,1.6485085659203218,9.149128112649736,20,False
0,21,2.5808774008537387,-1.4547403187013161,9.164108909989752,21,False
0,22,-3.387282209663982,0.010447751033635377,9.204126538890286,22,False
0,23,-2.7309065094911587,1.698139946825103,9.224008108729477,23,False
0,24,-0.6284808112766926,3.3267819605783746,9.766568554663968,24,False
0,25,2.783834970737619,-3.0536129214803243,9.787726228237718,25,False
0,26,3.27631171992582,1.3166439912206487,9.828269386641635,26,False
0,27,1.4386512008066452,3.227616132708299,9.909688918893526,27,False
0,28,-3.7007849466452836,-0.24295073774066278,10.003141761405857,28,False
0,29,2.6113970199035297,2.8606430527695377,10.213825300448201,29,False
0,30,-3.476878972868316,1.9632037507773603,10.35538123990369,30,False
0,31,-3.7188636732445413,-0.49614062104432843,10.402650747153073,31,False
0,32,-3.4571050793245215,1.8304895324245463,10.429465403196506,32,False
0,33,3.585979199113824,1.9736802905936388,10.44118076162648,33,False
0,34,1.8249550397497547,-3.602475163906902,10.579191193382513,34,False
0,35,3.3225980139520104,3.047643574968019,10.853560832521488,35,False
0,36,-1.3818738944660955,-4.12350080683899,10.917296080472283,36,False
0,37,3.140203846660347,-3.330270800922961,11.16980965080401,37,False
0,38,-1.2920197576741876,4.267649888486018,11.242295824793558,38,False
0,39,-3.0009179752489166,-4.926377302489945,11.29327620207377,39,False
0,40,0.5458478701583482,-4.3618274389582465,11.52911048013802,40,False
0,41,3.5340307326816607,-2.6606051413465925,11.549327853423247,41,False
0,42,-0.3327899627296578,-4.561962342127712,11.753567126932156,42,False
0,43,-4.691821654320606,-0.6328261076763759,11.88150713159352,43,False
0,44,-4.41697258310934,-2.1861610797800344,11.96853227514137,44,False
0,45,-3.6020300187234255,-3.8546992646402654,12.324688496097721,45,False
0,46,2.447621559078171,4.675097324342101,12.73918906402884,46,False
0,47,-4.058226521123505,4.756223516367559,12.830884669310645,47,False
0,48,-4.772879268661395,-4.099521392243583,12.892188299257457,48,False
0,49,4.706980243949033,3.9312112132219763,12.938730155131857,49,False
0,50,-3.819940978794847,4.618976645495145,13.292699368106197,50,False
1,1,-0.5384372442596934,-0.24295073774066278,3.6920088310394097,1,True
1,2,-0.41084224461660046,0.6874119595289372,4.319262843305168,2,False
1,3,-0.41084224461660046,0.6874119595289372,4.319262843305168,3,False
1,4,-0.41084224461660046,-0.9361313855992943,4.373142468444392,4,False
1,5,0.5703215234127832,0.535794006579958,4.422651513629084,5,False
1,6,0.5703215234127832,0.6874119595289372,4.566168872245445,6,False
1,7,0.6523610648118883,-0.6112156024794766,4.582105206978365,7,False
1,8,-1.2920197576741876,-0.3812276974861266,5.579494143969065,8,False
1,9,1.347183200005908,-0.9361313855992943,5.669822637703355,9,False
1,10,0.5458478701583482,1.3028259311888846,5.813751946512944,10,False
1,11,-1.984879108521235,-0.28903793856867477,6.200975004451728,11,False
1,12,-2.064062422333164,-0.28903793856867477,6.420920728174998,12,False
1,13,1.6431354032738756,0.6874119595289372,6.566756843200682,13,False
1,14,-0.6284808112766926,1.6191651472689506,6.583380563515149,14,False
1,15,1.6431354032738756,-0.49614062104432843,6.584265614360692,15,False
1,16,1.6431354032738756,0.535794006579958,6.605035532375972,16,False
1,17,-1.7417464186184803,-0.6112156024794766,6.64888622109757,17,False
1,18,0.5920716074541357,-1.960499019373878,6.679116249053397,18,False
1,19,2.0516537862633513,0.535794006579958,6.9135386598866635,19,False
1,20,1.4386512008066452,1.3028259311888846,6.984399446891583,20,False
1,21,2.0041573383083042,-1.2954029396513111,7.014923050484935,21,False
1,22,1.6840296179047165,1.3028259311888846,7.223643540114134,22,False
1,23,-3.0009179752489166,-0.9361313855992943,7.283806032055635,23,False
1,24,-1.3818738944660955,1.698139946825103,7.454318029633436,24,False
1,25,1.4386512008066452,1.9736802905936388,7.529251950764229,25,False
1,26,1.6840296179047165,1.6191651472689506,7.778455225909671,26,False
1,27,-2.064062422333164,1.6191651472689506,7.81910179681125,27,False
1,28,-0.6284808112766926,2.8606430527695377,8.526114912259027,28,False
1,29,-0.41084224461660046,2.8389820910641355,8.534211210385312,29,False
1,30,2.998433023811028,-0.6112156024794766,8.619691259250578,30,False
1,31,1.347183200005908,2.8389820910641355,8.915399356949665,31,False
1,32,1.347183200005908,2.8072903102196793,8.946844059739966,32,False
1,33,2.7395604855596334,-1.4547403187013161,9.22149771820333,33,False
1,34,-1.984879108521235,3.227616132708299,9.25051316051951,34,False
1,35,1.4386512008066452,-3.0536129214803243,9.301441711032162,35,False
1,36,-3.7188636732445413,-0.9361313855992943,9.652729227454259,36,False
1,37,3.27631171992582,1.3166439912206487,9.828269386641635,37,False
1,38,3.27631171992582,1.3166439912206487,9.828269386641635,38,False
1,39,-2.064062422333164,3.3267819605783746,9.965446675239017,39,False
1,40,-3.7007849466452836,-1.1897877390351752,10.143376841333069,40,False
1,41,2.7395604855596334,2.649988574160256,10.330694387620335,41,False
1,42,2.783834970737619,3.227616132708299,10.580586182105712,42,False
1,43,3.3225980139520104,3.047643574968019,10.853560832521488,43,False
1,44,2.6113970199035297,3.3267819605783746,11.180343453034709,44,False
1,45,-1.984879108521235,-4.3618274389582465,11.37201714687178,45,False
1,46,-2.7309065094911587,-4.12350080683899,11.435201386884247,46,False
1,47,3.5340307326816607,-2.5723184621197372,11.548139383187992,47,False
1,48,2.2235935059645033,4.267649888486018,11.56386410327178,48,False
1,49,3.585979199113824,3.227616132708299,11.910654030416035,49,False
1,50,1.6431354032738756,-4.926377302489945,11.976538858819733,50,False
2,1,-0.5384372442596934,-0.24295073774066278,3.6920088310394097,1,True
2,2,-0.41084224461660046,-0.3812276974861266,3.788798945467548,2,False
2,3,0.6523610648118883,-0.28903793856867477,3.9738202186963822,3,False
2,4,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,4,False
2,5,-0.41084224461660046,0.6874119595289372,4.319262843305168,5,False
2,6,-0.41084224461660046,-0.9361313855992943,4.373142468444392,6,False
2,7,0.5920716074541357,0.535794006579958,4.449844773713281,7,False
2,8,0.5920716074541357,-0.6112156024794766,4.537296224083708,8,False
2,9,0.5703215234127832,0.6874119595289372,4.566168872245445,9,False
2,10,-0.6284808112766926,-0.6112156024794766,4.567751894509204,10,False
2,11,-0.6284808112766926,-0.6112156024794766,4.567751894509204,11,False
2,12,0.0961553288201793,-1.960499019373878,5.115933007841544,12,False
2,13,-0.6284808112766926,-1.1897877390351752,5.33270926255674,13,False
2,14,-1.984879108521235,-0.9361313855992943,5.4480483357674245,14,False
2,15,-1.2920197576741876,-0.8200464407861663,5.524232683186529,15,False
2,16,2.0516537862633513,-0.9361313855992943,5.634554250925884,16,False
2,17,-0.41084224461660046,1.3166439912206487,5.728254141551773,17,False
2,18,1.347183200005908,-0.49614062104432843,5.937788533360674,18,False
2,19,1.347183200005908,-0.6112156024794766,5.981855150576944,19,False
2,20,-1.7417464186184803,-0.9361313855992943,6.053242440015602,20,False
2,21,-1.3818738944660955,0.6874119595289372,6.068970291805989,21,False
2,22,2.0041573383083042,-0.28903793856867477,6.238515782901516,22,False
2,23,1.6431354032738756,-0.9361313855992943,6.250648880387459,23,False
2,24,2.0516537862633513,-0.28903793856867477,6.375436710082582,24,False
2,25,-2.064062422333164,-0.28903793856867477,6.420920728174998,25,False
2,26,-0.41084224461660046,1.698139946825103,6.53887678677258,26,False
2,27,0.5703215234127832,-1.960499019373878,6.701052600332453,27,False
2,28,-2.064062422333164,-0.6112156024794766,6.887147973029219,28,False
2,29,-2.064062422333164,-0.6112156024794766,6.887147973029219,29,False
2,30,-2.064062422333164,0.535794006579958,6.952259624846363,30,False
2,31,-1.984879108521235,-1.2954029396513111,6.9852372096639,31,False
2,32,1.347183200005908,-1.4547403187013161,7.144045620124302,32,False
2,33,2.998433023811028,-0.9361313855992943,7.279545486802288,33,False
2,34,-3.0009179752489166,-0.9361313855992943,7.283806032055635,34,False
2,35,1.347183200005908,1.6191651472689506,7.349958746928159,35,False
2,36,-0.6284808112766926,2.2220919577130673,7.5183278007654035,36,False
2,37,-3.0009179752489166,-0.28903793856867477,8.20042432525031,37,False
2,38,0.6523610648118883,2.8606430527695377,8.47777635712717,38,False
2,39,-0.6284808112766926,2.8606430527695377,8.526114912259027,39,False
2,40,-0.41084224461660046,2.8389820910641355,8.534211210385312,40,False
2,41,-0.6284808112766926,2.8072903102196793,8.559255293900659,41,False
2,42,-3.0009179752489166,0.535794006579958,8.709807590317526,42,False
2,43,-1.7417464186184803,2.8606430527695377,8.92145970397264,43,False
2,44,1.6840296179047165,2.8606430527695377,9.085123050523494,44,False
2,45,-0.6284808112766926,3.227616132708299,9.39683545172229,45,False
2,46,3.27631171992582,0.6874119595289372,9.500604575299686,46,False
2,47,0.6523610648118883,3.3267819605783746,9.741037890218022,47,False
2,48,2.783834970737619,2.8606430527695377,9.814636878049072,48,False
2,49,2.7395604855596334,2.8389820910641355,10.008906993220874,49,False
2,50,-3.7007849466452836,2.8606430527695377,11.213684806269624,50,False
3,1,0.0961553288201793,0.6874119595289372,3.342284290910293,1,True
3,2,-0.5384372442596934,-0.24295073774066278,3.6920088310394097,2,False
3,3,-0.41084224461660046,-0.3812276974861266,3.788798945467548,3,False
3,4,0.6523610648118883,-0.24295073774066278,3.826771711438593,4,False
3,5,0.6523610648118883,-0.28903793856867477,3.9738202186963822,5,False
3,6,-0.41084224461660046,0.535794006579958,4.137508454833075,6,False
3,7,0.5920716074541357,-0.3812276974861266,4.158291149421437,7,False
3,8,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,8,False
3,9,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,9,False
3,10,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,10,False
3,11,-0.41084224461660046,-0.8200464407861663,4.3411894755675675,11,False
3,12,-0.41084224461660046,-0.9361313855992943,4.373142468444392,12,False
3,13,-0.6284808112766926,0.535794006579958,4.488265163365703,13,False
3,14,0.5703215234127832,-0.6112156024794766,4.514385853716327,14,False
3,15,0.5703215234127832,0.6874119595289372,4.566168872245445,15,False
3,16,0.5703215234127832,0.6874119595289372,4.566168872245445,16,False
3,17,-0.6284808112766926,0.6874119595289372,4.6022704610237355,17,False
3,18,-1.2119720151460631,-0.28903793856867477,4.952444282514609,18,False
3,19,-1.2920197576741876,-0.9361313855992943,5.367480389092311,19,False
3,20,-1.984879108521235,-0.9361313855992943,5.4480483357674245,20,False
3,21,-1.984879108521235,-0.9361313855992943,5.4480483357674245,21,False
3,22,1.347183200005908,-0.28903793856867477,5.594310445628409,22,False
3,23,1.347183200005908,-0.28903793856867477,5.594310445628409,23,False
3,24,-0.41084224461660046,-1.2954029396513111,5.646523401640184,24,False
3,25,1.347183200005908,-0.9361313855992943,5.669822637703355,25,False
3,26,-1.3818738944660955,-0.28903793856867477,5.725341628131055,26,False
3,27,-1.2920197576741876,0.535794006579958,5.768644645568134,27,False
3,28,2.0516537862633513,-0.8200464407861663,6.097894258138851,28,False
3,29,1.6431354032738756,-0.9361313855992943,6.250648880387459,29,False
