generation,pair_id,parent1_x1,parent1_x2,parent2_x1,parent2_x2,crossover_applied,child1_x1_before_mutation,child1_x2_before_mutation,child1_mutated_gene,child1_mutation_delta,child1_x1,child1_x2,child2_x1_before_mutation,child2_x2_before_mutation,child2_mutated_gene,child2_mutation_delta,child2_x1,child2_x2
1,1,-1.3818738944660955,-4.12350080683899,-2.7309065094911587,1.698139946825103,True,-1.3818738944660955,1.698139946825103,,,-1.3818738944660955,1.698139946825103,-2.7309065094911587,-4.12350080683899,,,-2.7309065094911587,-4.12350080683899
1,2,-0.6284808112766926,3.3267819605783746,-2.064062422333164,1.6191651472689506,True,-0.6284808112766926,1.6191651472689506,,,-0.6284808112766926,1.6191651472689506,-2.064062422333164,3.3267819605783746,,,-2.064062422333164,3.3267819605783746
1,3,-2.064062422333164,1.6191651472689506,1.6840296179047165,-0.28903793856867477,True,-2.064062422333164,-0.28903793856867477,,,-2.064062422333164,-0.28903793856867477,1.6840296179047165,1.6191651472689506,,,1.6840296179047165,1.6191651472689506
1,4,3.585979199113824,1.9736802905936388,1.4386512008066452,3.227616132708299,True,3.585979199113824,3.227616132708299,,,3.585979199113824,3.227616132708299,1.4386512008066452,1.9736802905936388,,,1.4386512008066452,1.9736802905936388
1,5,2.7395604855596334,-0.6112156024794766,2.5808774008537387,-1.4547403187013161,True,2.7395604855596334,-1.4547403187013161,,,2.7395604855596334,-1.4547403187013161,2.5808774008537387,-0.6112156024794766,0.0,0.41755562295728943,2.998433023811028,-0.6112156024794766
1,6,1.6431354032738756,-0.9361313855992943,1.347183200005908,0.535794006579958,True,1.6431354032738756,0.535794006579958,,,1.6431354032738756,0.535794006579958,1.347183200005908,-0.9361313855992943,,,1.347183200005908,-0.9361313855992943
1,7,2.7395604855596334,-0.6112156024794766,-1.7417464186184803,-1.2954029396513111,True,2.7395604855596334,-1.2954029396513111,0.0,-0.7354031472513292,2.0041573383083042,-1.2954029396513111,-1.7417464186184803,-0.6112156024794766,,,-1.7417464186184803,-0.6112156024794766
1,8,-3.7007849466452836,-0.24295073774066278,-0.5384372442596934,-1.1897877390351752,True,-3.7007849466452836,-1.1897877390351752,,,-3.7007849466452836,-1.1897877390351752,-0.5384372442596934,-0.24295073774066278,,,-0.5384372442596934,-0.24295073774066278
1,9,2.7395604855596334,-0.6112156024794766,0.6523610648118883,2.649988574160256,True,2.7395604855596334,2.649988574160256,,,2.7395604855596334,2.649988574160256,0.6523610648118883,-0.6112156024794766,,,0.6523610648118883,-0.6112156024794766
1,10,-2.064062422333164,1.6191651472689506,-0.41084224461660046,0.6874119595289372,False,-2.064062422333164,1.6191651472689506,,,-2.064062422333164,1.6191651472689506,-0.41084224461660046,0.6874119595289372,,,-0.41084224461660046,0.6874119595289372
