generation,best_fitness,mean_fitness,worst_fitness,std_fitness,best_x1,best_x2,num_crossovers,num_mutations,best_fitness_so_far
1,3.6920088310394097,7.982277009325942,11.976538858819733,2.3175967467291,-0.5384372442596934,-0.24295073774066278,21,3,3.6920088310394097
2,3.6920088310394097,6.708285573061416,11.213684806269624,1.87172256835036,-0.5384372442596934,-0.24295073774066278,23,3,3.6920088310394097
3,3.342284290910293,6.0074288501143664,10.008906993220874,1.6869138326565662,0.0961553288201793,0.6874119595289372,21,2,3.342284290910293
4,3.342284290910293,5.529634818737662,9.962747170062604,1.5275244733656903,0.0961553288201793,0.6874119595289372,19,2,3.342284290910293
5,3.342284290910293,4.7320877570823585,8.610463287406553,1.1148583577826232,0.0961553288201793,0.6874119595289372,14,3,3.342284290910293
6,3.20087375970984,4.459888343694838,6.753861367170462,0.8087240222083829,0.0961553288201793,1.0762956540714,21,5,3.20087375970984
7,2.2250355246067497,4.062637880338985,5.214185607998974,0.5808706538753078,0.0961553288201793,-0.28903793856867477,19,1,2.2250355246067497
8,1.9009808308353127,3.894732121252199,5.78803059766603,0.7301210505875438,0.0961553288201793,-0.24295073774066278,21,2,1.9009808308353127
9,1.9009808308353127,3.639197640786817,4.971999076039136,0.7679191016778437,0.0961553288201793,-0.24295073774066278,17,3,1.9009808308353127
10,1.9009808308353127,3.29859551228398,4.550670553991598,0.7289952103927085,0.0961553288201793,-0.24295073774066278,18,3,1.9009808308353127
11,1.9009808308353127,2.9789187977980083,4.837783280621807,0.6748237187635454,0.0961553288201793,-0.24295073774066278,18,1,1.9009808308353127
12,0.5153084060492117,2.6594343276743007,4.319262843305168,0.7367578669312147,0.0961553288201793,0.019602851677454458,18,2,0.5153084060492117
13,0.5153084060492117,2.472938976873488,4.137508454833075,0.6967623640166455,0.0961553288201793,0.019602851677454458,18,2,0.5153084060492117
14,0.5153084060492117,2.176237800209944,3.5729925784842504,0.6502498767335483,0.0961553288201793,0.019602851677454458,23,2,0.5153084060492117
15,0.11817857577153434,1.8407294035847308,2.9360780993453557,0.6126342394831895,0.025457577748278212,0.019602851677454458,19,1,0.11817857577153434
16,0.0659813297404388,1.525168077895149,2.8166380640565163,0.758276814498752,-0.0018468201023286307,0.019602851677454458,23,3,0.0659813297404388
17,0.0659813297404388,1.1561036364357817,4.653808169631873,0.8851886765095822,-0.0018468201023286307,0.019602851677454458,19,2,0.0659813297404388
