individual,x1,x2,fitness,rank,is_elite
1,0.0961553288201793,0.6874119595289372,3.342284290910293,1,True
2,-0.5384372442596934,-0.24295073774066278,3.6920088310394097,2,False
3,-0.41084224461660046,-0.3812276974861266,3.788798945467548,3,False
4,0.6523610648118883,-0.24295073774066278,3.826771711438593,4,False
5,0.6523610648118883,-0.28903793856867477,3.9738202186963822,5,False
6,-0.41084224461660046,0.535794006579958,4.137508454833075,6,False
7,0.5920716074541357,-0.3812276974861266,4.158291149421437,7,False
8,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,8,False
9,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,9,False
10,-0.41084224461660046,-0.6112156024794766,4.2500365950561765,10,False
11,-0.41084224461660046,-0.8200464407861663,4.3411894755675675,11,False
12,-0.41084224461660046,-0.9361313855992943,4.373142468444392,12,False
13,-0.6284808112766926,0.535794006579958,4.488265163365703,13,False
14,0.5703215234127832,-0.6112156024794766,4.514385853716327,14,False
15,0.5703215234127832,0.6874119595289372,4.566168872245445,15,False
16,0.5703215234127832,0.6874119595289372,4.566168872245445,16,False
17,-0.6284808112766926,0.6874119595289372,4.6022704610237355,17,False
18,-1.2119720151460631,-0.28903793856867477,4.952444282514609,18,False
19,-1.2920197576741876,-0.9361313855992943,5.367480389092311,19,False
20,-1.984879108521235,-0.9361313855992943,5.4480483357674245,20,False
21,-1.984879108521235,-0.9361313855992943,5.4480483357674245,21,False
22,1.347183200005908,-0.28903793856867477,5.594310445628409,22,False
23,1.347183200005908,-0.28903793856867477,5.594310445628409,23,False
24,-0.41084224461660046,-1.2954029396513111,5.646523401640184,24,False
25,1.347183200005908,-0.9361313855992943,5.669822637703355,25,False
26,-1.3818738944660955,-0.28903793856867477,5.725341628131055,26,False
27,-1.2920197576741876,0.535794006579958,5.768644645568134,27,False
28,2.0516537862633513,-0.8200464407861663,6.097894258138851,28,False
29,1.6431354032738756,-0.9361313855992943,6.250648880387459,29,False
30,-0.6284808112766926,-1.4547403187013161,6.29578472339206,30,False
31,-1.7417464186184803,-0.6112156024794766,6.64888622109757,31,False
32,2.0516537862633513,0.6874119595289372,6.664381957221604,32,False
33,0.5703215234127832,-1.960499019373878,6.701052600332453,33,False
34,0.5703215234127832,-1.960499019373878,6.701052600332453,34,False
35,2.0041573383083042,-0.6112156024794766,6.72312967724759,35,False
36,-1.984879108521235,-0.49614062104432843,6.745245557799761,36,False
37,-1.984879108521235,0.535794006579958,6.753861367170462,37,False
38,-1.3818738944660955,-1.960499019373878,7.348398972888305,38,False
39,-1.984879108521235,1.698139946825103,7.49382524900229,39,False
40,2.0041573383083042,-1.4547403187013161,7.607595891343669,40,False
41,2.0516537862633513,1.6191651472689506,7.784729358789116,41,False
42,-3.0009179752489166,-0.8200464407861663,7.796833848525679,42,False
43,-2.064062422333164,2.8606430527695377,8.391831982736537,43,False
44,-0.41084224461660046,2.8389820910641355,8.534211210385312,44,False
45,2.7395604855596334,-0.6112156024794766,8.611079791171319,45,False
46,-0.5384372442596934,2.8606430527695377,8.61958581608434,46,False
47,0.5333005237900705,2.8606430527695377,8.6208646872393,47,False
48,-3.0009179752489166,-1.2954029396513111,8.688637700446142,48,False
49,1.347183200005908,2.8072903102196793,8.946844059739966,49,False
50,2.7395604855596334,2.8389820910641355,10.008906993220874,50,False
